filepath,label
data/raw/AID/Forest/forest_119.jpg,Forest
data/raw/AID/Forest/forest_125.jpg,Forest
data/raw/AID/Forest/forest_131.jpg,Forest
data/raw/AID/Forest/forest_247.jpg,Forest
data/raw/AID/Forest/forest_15.jpg,Forest
data/raw/AID/Forest/forest_29.jpg,Forest
data/raw/AID/Forest/forest_28.jpg,Forest
data/raw/AID/Forest/forest_14.jpg,Forest
data/raw/AID/Forest/forest_246.jpg,Forest
data/raw/AID/Forest/forest_130.jpg,Forest
data/raw/AID/Forest/forest_124.jpg,Forest
data/raw/AID/Forest/forest_118.jpg,Forest
data/raw/AID/Forest/forest_132.jpg,Forest
data/raw/AID/Forest/forest_126.jpg,Forest
data/raw/AID/Forest/forest_244.jpg,Forest
data/raw/AID/Forest/forest_250.jpg,Forest
data/raw/AID/Forest/forest_16.jpg,Forest
data/raw/AID/Forest/forest_17.jpg,Forest
data/raw/AID/Forest/forest_245.jpg,Forest
data/raw/AID/Forest/forest_127.jpg,Forest
data/raw/AID/Forest/forest_133.jpg,Forest
data/raw/AID/Forest/forest_137.jpg,Forest
data/raw/AID/Forest/forest_123.jpg,Forest
data/raw/AID/Forest/forest_241.jpg,Forest
data/raw/AID/Forest/forest_13.jpg,Forest
data/raw/AID/Forest/forest_12.jpg,Forest
data/raw/AID/Forest/forest_240.jpg,Forest
data/raw/AID/Forest/forest_122.jpg,Forest
data/raw/AID/Forest/forest_136.jpg,Forest
data/raw/AID/Forest/forest_120.jpg,Forest
data/raw/AID/Forest/forest_134.jpg,Forest
data/raw/AID/Forest/forest_108.jpg,Forest
data/raw/AID/Forest/forest_242.jpg,Forest
data/raw/AID/Forest/forest_38.jpg,Forest
data/raw/AID/Forest/forest_10.jpg,Forest
data/raw/AID/Forest/forest_11.jpg,Forest
data/raw/AID/Forest/forest_39.jpg,Forest
data/raw/AID/Forest/forest_243.jpg,Forest
data/raw/AID/Forest/forest_109.jpg,Forest
data/raw/AID/Forest/forest_135.jpg,Forest
data/raw/AID/Forest/forest_121.jpg,Forest
data/raw/AID/Forest/forest_185.jpg,Forest
data/raw/AID/Forest/forest_191.jpg,Forest
data/raw/AID/Forest/forest_146.jpg,Forest
data/raw/AID/Forest/forest_152.jpg,Forest
data/raw/AID/Forest/forest_218.jpg,Forest
data/raw/AID/Forest/forest_230.jpg,Forest
data/raw/AID/Forest/forest_224.jpg,Forest
data/raw/AID/Forest/forest_9.jpg,Forest
data/raw/AID/Forest/forest_89.jpg,Forest
data/raw/AID/Forest/forest_76.jpg,Forest
data/raw/AID/Forest/forest_62.jpg,Forest
data/raw/AID/Forest/forest_63.jpg,Forest
data/raw/AID/Forest/forest_77.jpg,Forest
data/raw/AID/Forest/forest_88.jpg,Forest
data/raw/AID/Forest/forest_8.jpg,Forest
data/raw/AID/Forest/forest_225.jpg,Forest
data/raw/AID/Forest/forest_231.jpg,Forest
data/raw/AID/Forest/forest_219.jpg,Forest
data/raw/AID/Forest/forest_153.jpg,Forest
data/raw/AID/Forest/forest_147.jpg,Forest
data/raw/AID/Forest/forest_190.jpg,Forest
data/raw/AID/Forest/forest_184.jpg,Forest
data/raw/AID/Forest/forest_192.jpg,Forest
data/raw/AID/Forest/forest_186.jpg,Forest
data/raw/AID/Forest/forest_179.jpg,Forest
data/raw/AID/Forest/forest_151.jpg,Forest
data/raw/AID/Forest/forest_145.jpg,Forest
data/raw/AID/Forest/forest_227.jpg,Forest
data/raw/AID/Forest/forest_233.jpg,Forest
data/raw/AID/Forest/forest_61.jpg,Forest
data/raw/AID/Forest/forest_75.jpg,Forest
data/raw/AID/Forest/forest_49.jpg,Forest
data/raw/AID/Forest/forest_48.jpg,Forest
data/raw/AID/Forest/forest_74.jpg,Forest
data/raw/AID/Forest/forest_60.jpg,Forest
data/raw/AID/Forest/forest_232.jpg,Forest
data/raw/AID/Forest/forest_226.jpg,Forest
data/raw/AID/Forest/forest_144.jpg,Forest
data/raw/AID/Forest/forest_150.jpg,Forest
data/raw/AID/Forest/forest_178.jpg,Forest
data/raw/AID/Forest/forest_187.jpg,Forest
data/raw/AID/Forest/forest_193.jpg,Forest
data/raw/AID/Forest/forest_197.jpg,Forest
data/raw/AID/Forest/forest_183.jpg,Forest
data/raw/AID/Forest/forest_154.jpg,Forest
data/raw/AID/Forest/forest_140.jpg,Forest
data/raw/AID/Forest/forest_168.jpg,Forest
data/raw/AID/Forest/forest_222.jpg,Forest
data/raw/AID/Forest/forest_236.jpg,Forest
data/raw/AID/Forest/forest_58.jpg,Forest
data/raw/AID/Forest/forest_64.jpg,Forest
data/raw/AID/Forest/forest_70.jpg,Forest
data/raw/AID/Forest/forest_71.jpg,Forest
data/raw/AID/Forest/forest_65.jpg,Forest
data/raw/AID/Forest/forest_59.jpg,Forest
data/raw/AID/Forest/forest_237.jpg,Forest
data/raw/AID/Forest/forest_223.jpg,Forest
data/raw/AID/Forest/forest_169.jpg,Forest
data/raw/AID/Forest/forest_141.jpg,Forest
data/raw/AID/Forest/forest_155.jpg,Forest
data/raw/AID/Forest/forest_182.jpg,Forest
data/raw/AID/Forest/forest_196.jpg,Forest
data/raw/AID/Forest/forest_180.jpg,Forest
data/raw/AID/Forest/forest_194.jpg,Forest
data/raw/AID/Forest/forest_143.jpg,Forest
data/raw/AID/Forest/forest_157.jpg,Forest
data/raw/AID/Forest/forest_235.jpg,Forest
data/raw/AID/Forest/forest_221.jpg,Forest
data/raw/AID/Forest/forest_209.jpg,Forest
data/raw/AID/Forest/forest_98.jpg,Forest
data/raw/AID/Forest/forest_73.jpg,Forest
data/raw/AID/Forest/forest_67.jpg,Forest
data/raw/AID/Forest/forest_66.jpg,Forest
data/raw/AID/Forest/forest_72.jpg,Forest
data/raw/AID/Forest/forest_99.jpg,Forest
data/raw/AID/Forest/forest_208.jpg,Forest
data/raw/AID/Forest/forest_220.jpg,Forest
data/raw/AID/Forest/forest_234.jpg,Forest
data/raw/AID/Forest/forest_156.jpg,Forest
data/raw/AID/Forest/forest_142.jpg,Forest
data/raw/AID/Forest/forest_195.jpg,Forest
data/raw/AID/Forest/forest_181.jpg,Forest
data/raw/AID/Forest/forest_198.jpg,Forest
data/raw/AID/Forest/forest_167.jpg,Forest
data/raw/AID/Forest/forest_173.jpg,Forest
data/raw/AID/Forest/forest_239.jpg,Forest
data/raw/AID/Forest/forest_211.jpg,Forest
data/raw/AID/Forest/forest_205.jpg,Forest
data/raw/AID/Forest/forest_94.jpg,Forest
data/raw/AID/Forest/forest_80.jpg,Forest
data/raw/AID/Forest/forest_57.jpg,Forest
data/raw/AID/Forest/forest_43.jpg,Forest
data/raw/AID/Forest/forest_42.jpg,Forest
data/raw/AID/Forest/forest_56.jpg,Forest
data/raw/AID/Forest/forest_1.jpg,Forest
data/raw/AID/Forest/forest_81.jpg,Forest
