filepath,label,split
data/raw/AID/Industrial/industrial_80.jpg,Industrial,train
data/raw/AID/Industrial/industrial_168.jpg,Industrial,train
data/raw/AID/Farmland/farmland_331.jpg,Farmland,train
data/raw/AID/Industrial/industrial_170.jpg,Industrial,train
data/raw/AID/River/river_233.jpg,River,train
data/raw/AID/Mountain/mountain_61.jpg,Mountain,train
data/raw/AID/Forest/forest_211.jpg,Forest,train
data/raw/AID/Beach/beach_73.jpg,Beach,train
data/raw/AID/River/river_77.jpg,River,train
data/raw/AID/Forest/forest_26.jpg,Forest,train
data/raw/AID/Airport/airport_51.jpg,Airport,train
data/raw/AID/Beach/beach_21.jpg,Beach,train
data/raw/AID/DenseResidential/denseresidential_18.jpg,DenseResidential,train
data/raw/AID/Airport/airport_275.jpg,Airport,train
data/raw/AID/Stadium/stadium_115.jpg,Stadium,train
data/raw/AID/Forest/forest_129.jpg,Forest,train
data/raw/AID/Mountain/mountain_172.jpg,Mountain,train
data/raw/AID/Forest/forest_159.jpg,Forest,train
data/raw/AID/Forest/forest_64.jpg,Forest,train
data/raw/AID/Farmland/farmland_161.jpg,Farmland,train
data/raw/AID/Desert/desert_21.jpg,Desert,train
data/raw/AID/Stadium/stadium_76.jpg,Stadium,train
data/raw/AID/Desert/desert_283.jpg,Desert,train
data/raw/AID/River/river_145.jpg,River,train
data/raw/AID/DenseResidential/denseresidential_316.jpg,DenseResidential,train
data/raw/AID/River/river_44.jpg,River,train
data/raw/AID/Mountain/mountain_161.jpg,Mountain,train
data/raw/AID/River/river_199.jpg,River,train
data/raw/AID/Desert/desert_295.jpg,Desert,train
data/raw/AID/Farmland/farmland_121.jpg,Farmland,train
data/raw/AID/Desert/desert_113.jpg,Desert,train
data/raw/AID/Stadium/stadium_221.jpg,Stadium,train
data/raw/AID/Desert/desert_20.jpg,Desert,train
data/raw/AID/Industrial/industrial_260.jpg,Industrial,train
data/raw/AID/Airport/airport_328.jpg,Airport,train
data/raw/AID/Airport/airport_311.jpg,Airport,train
data/raw/AID/Mountain/mountain_338.jpg,Mountain,train
data/raw/AID/Airport/airport_161.jpg,Airport,train
data/raw/AID/Beach/beach_163.jpg,Beach,train
data/raw/AID/Mountain/mountain_10.jpg,Mountain,train
data/raw/AID/Stadium/stadium_171.jpg,Stadium,train
data/raw/AID/Airport/airport_332.jpg,Airport,train
data/raw/AID/Beach/beach_238.jpg,Beach,train
data/raw/AID/Farmland/farmland_159.jpg,Farmland,train
data/raw/AID/Mountain/mountain_79.jpg,Mountain,train
data/raw/AID/Beach/beach_251.jpg,Beach,train
data/raw/AID/Airport/airport_341.jpg,Airport,train
data/raw/AID/Industrial/industrial_201.jpg,Industrial,train
data/raw/AID/DenseResidential/denseresidential_5.jpg,DenseResidential,train
